status,name,solver,mem,nvar,nvmops,neval_obj,neval_grad,num_iter,mem,FA_F1,FA_Score
first_order,NZF1,LBFGSSolver,1,91,287,327,314,287,1,-0.08436334428667197,-0.08436334428667197
first_order,NZF1,LBFGSSolver,2,91,199,222,215,199,2,-0.08458392809291863,-0.08458392809291863
first_order,NZF1,LBFGSSolver,3,91,213,233,227,213,3,-0.08454883521465266,-0.08454883521465266
first_order,NZF1,LBFGSSolver,4,91,191,208,202,191,4,-0.08460398116621465,-0.08460398116621465
first_order,NZF1,LBFGSSolver,5,91,209,230,224,209,5,-0.08455886175130106,-0.08455886175130106
first_order,NZF1,LBFGSSolver,6,91,166,185,179,166,6,-0.08466664702026268,-0.08466664702026268
first_order,NZF1,LBFGSSolver,7,91,191,212,206,191,7,-0.08460398116621588,-0.08460398116621588
first_order,NZF1,LBFGSSolver,8,91,162,183,176,162,8,-0.08467667355691107,-0.08467667355691107
first_order,NZF1,LBFGSSolver,9,91,156,175,168,156,9,-0.08469171336188286,-0.08469171336188286
first_order,NZF1,LBFGSSolver,10,91,134,150,144,134,10,-0.08474685931344482,-0.08474685931344482
first_order,NZF1,LBFGSSolver,11,91,138,154,148,138,11,-0.08473683277679771,-0.08473683277679771
first_order,NZF1,LBFGSSolver,12,91,120,135,129,120,12,-0.0847819521917121,-0.0847819521917121
first_order,NZF1,LBFGSSolver,13,91,113,127,121,113,13,-0.08479949863084577,-0.08479949863084577
first_order,NZF1,LBFGSSolver,14,91,125,141,135,125,14,-0.08476941902090351,-0.08476941902090351
first_order,NZF1,LBFGSSolver,15,91,118,131,125,118,15,-0.0847869654600372,-0.0847869654600372
first_order,NZF1,LBFGSSolver,16,91,116,137,131,116,16,-0.0847919787283613,-0.0847919787283613
first_order,NZF1,LBFGSSolver,17,91,97,113,106,97,17,-0.08483960477743765,-0.08483960477743765
first_order,NZF1,LBFGSSolver,18,91,88,101,95,88,18,-0.0848621644848951,-0.0848621644848951
first_order,NZF1,LBFGSSolver,19,91,88,101,95,88,19,-0.08486216448489553,-0.08486216448489553
first_order,NZF1,LBFGSSolver,20,91,95,108,102,95,20,-0.08484461804576275,-0.08484461804576275
first_order,NZF1,LBFGSSolver,21,91,98,119,113,98,21,-0.08483709814327743,-0.08483709814327743
first_order,NZF1,LBFGSSolver,22,91,80,91,85,80,22,-0.08488221755819196,-0.08488221755819196
first_order,NZF1,LBFGSSolver,23,91,83,96,90,83,23,-0.0848746976557067,-0.0848746976557067
first_order,NZF1,LBFGSSolver,24,91,89,105,97,89,24,-0.08485965785073579,-0.08485965785073579
first_order,NZF1,LBFGSSolver,25,91,85,104,97,85,25,-0.08486968438738372,-0.08486968438738372
first_order,NZF1,LBFGSSolver,26,91,79,90,84,79,26,-0.08488472419235554,-0.08488472419235554
first_order,NZF1,LBFGSSolver,27,91,75,87,81,75,27,-0.08489475072900353,-0.08489475072900353
first_order,NZF1,LBFGSSolver,28,91,78,87,81,78,28,-0.08488723082651832,-0.08488723082651832
first_order,NZF1,LBFGSSolver,29,91,70,79,73,70,29,-0.08490728389981383,-0.08490728389981383
first_order,NZF1,LBFGSSolver,30,91,71,82,76,71,30,-0.08490477726565236,-0.08490477726565236
first_order,NZF1,LBFGSSolver,31,91,74,85,79,74,31,-0.08489725736316713,-0.08489725736316713
first_order,NZF1,LBFGSSolver,32,91,70,81,75,70,32,-0.08490728389981508,-0.08490728389981508
first_order,NZF1,LBFGSSolver,33,91,70,82,76,70,33,-0.08490728389981553,-0.08490728389981553
first_order,NZF1,LBFGSSolver,34,91,70,80,74,70,34,-0.08490728389981597,-0.08490728389981597
first_order,NZF1,LBFGSSolver,35,91,71,83,77,71,35,-0.0849047772656545,-0.0849047772656545
first_order,NZF1,LBFGSSolver,36,91,67,79,73,67,36,-0.08491480380230249,-0.08491480380230249
first_order,NZF1,LBFGSSolver,37,91,72,82,76,72,37,-0.0849022706314935,-0.0849022706314935
first_order,NZF1,LBFGSSolver,38,91,67,77,71,67,38,-0.08491480380230335,-0.08491480380230335
first_order,NZF1,LBFGSSolver,39,91,69,79,73,69,39,-0.08490979053398001,-0.08490979053398001
first_order,NZF1,LBFGSSolver,40,91,67,78,72,67,40,-0.08491480380230419,-0.08491480380230419
first_order,NZF1,LBFGSSolver,41,91,65,76,70,65,41,-0.0849198170706284,-0.0849198170706284
first_order,NZF1,LBFGSSolver,42,91,64,76,70,64,42,-0.08492232370479069,-0.08492232370479069
first_order,NZF1,LBFGSSolver,43,91,65,75,69,65,43,-0.08491981707062925,-0.08491981707062925
first_order,NZF1,LBFGSSolver,44,91,65,74,68,65,44,-0.08491981707062969,-0.08491981707062969
first_order,NZF1,LBFGSSolver,45,91,66,77,71,66,45,-0.08491731043646823,-0.08491731043646823
first_order,NZF1,LBFGSSolver,46,91,63,74,68,63,46,-0.08492483033895432,-0.08492483033895432
first_order,NZF1,LBFGSSolver,47,91,63,72,66,63,47,-0.08492483033895477,-0.08492483033895477
first_order,NZF1,LBFGSSolver,48,91,63,74,68,63,48,-0.08492483033895516,-0.08492483033895516
first_order,NZF1,LBFGSSolver,49,91,60,69,63,60,49,-0.08493235024144129,-0.08493235024144129
first_order,NZF1,LBFGSSolver,50,91,60,69,63,60,50,-0.08493235024144172,-0.08493235024144172
first_order,NZF1,LBFGSSolver,51,91,60,70,64,60,51,-0.08493235024144213,-0.08493235024144213
first_order,NZF1,LBFGSSolver,52,91,61,70,64,61,52,-0.08492984360728069,-0.08492984360728069
first_order,NZF1,LBFGSSolver,53,91,60,69,63,60,53,-0.084932350241443,-0.084932350241443
first_order,NZF1,LBFGSSolver,54,91,60,70,64,60,54,-0.08493235024144341,-0.08493235024144341
first_order,NZF1,LBFGSSolver,55,91,60,71,65,60,55,-0.08493235024144383,-0.08493235024144383
first_order,NZF1,LBFGSSolver,56,91,61,71,65,61,56,-0.08492984360728238,-0.08492984360728238
first_order,NZF1,LBFGSSolver,57,91,60,70,64,60,57,-0.0849323502414447,-0.0849323502414447
first_order,NZF1,LBFGSSolver,58,91,59,69,63,59,58,-0.08493485687560703,-0.08493485687560703
first_order,NZF1,LBFGSSolver,59,91,59,69,63,59,59,-0.08493485687560746,-0.08493485687560746
first_order,NZF1,LBFGSSolver,60,91,59,69,63,59,60,-0.0849348568756079,-0.0849348568756079
first_order,NZF1,LBFGSSolver,61,91,59,69,63,59,61,-0.08493485687560832,-0.08493485687560832
first_order,NZF1,LBFGSSolver,62,91,59,69,63,59,62,-0.08493485687560876,-0.08493485687560876
first_order,NZF1,LBFGSSolver,63,91,59,69,63,59,63,-0.08493485687560917,-0.08493485687560917
first_order,NZF1,LBFGSSolver,64,91,59,69,63,59,64,-0.0849348568756096,-0.0849348568756096
first_order,NZF1,LBFGSSolver,65,91,59,69,63,59,65,-0.08493485687561003,-0.08493485687561003
first_order,NZF1,LBFGSSolver,66,91,59,69,63,59,66,-0.08493485687561046,-0.08493485687561046
first_order,NZF1,LBFGSSolver,67,91,59,69,63,59,67,-0.08493485687561088,-0.08493485687561088
first_order,NZF1,LBFGSSolver,68,91,59,69,63,59,68,-0.08493485687561131,-0.08493485687561131
first_order,NZF1,LBFGSSolver,69,91,59,69,63,59,69,-0.08493485687561175,-0.08493485687561175
first_order,NZF1,LBFGSSolver,70,91,59,69,63,59,70,-0.08493485687561218,-0.08493485687561218
first_order,NZF1,LBFGSSolver,71,91,59,69,63,59,71,-0.08493485687561261,-0.08493485687561261
first_order,NZF1,LBFGSSolver,72,91,59,69,63,59,72,-0.08493485687561303,-0.08493485687561303
first_order,NZF1,LBFGSSolver,73,91,59,69,63,59,73,-0.08493485687561346,-0.08493485687561346
first_order,NZF1,LBFGSSolver,74,91,59,69,63,59,74,-0.08493485687561389,-0.08493485687561389
first_order,NZF1,LBFGSSolver,75,91,59,69,63,59,75,-0.08493485687561432,-0.08493485687561432
first_order,NZF1,LBFGSSolver,76,91,59,69,63,59,76,-0.08493485687561475,-0.08493485687561475
first_order,NZF1,LBFGSSolver,77,91,59,69,63,59,77,-0.08493485687561517,-0.08493485687561517
first_order,NZF1,LBFGSSolver,78,91,59,69,63,59,78,-0.0849348568756156,-0.0849348568756156
first_order,NZF1,LBFGSSolver,79,91,59,69,63,59,79,-0.08493485687561603,-0.08493485687561603
first_order,NZF1,LBFGSSolver,80,91,59,69,63,59,80,-0.08493485687561646,-0.08493485687561646
first_order,NZF1,LBFGSSolver,81,91,59,69,63,59,81,-0.0849348568756169,-0.0849348568756169
first_order,NZF1,LBFGSSolver,82,91,59,69,63,59,82,-0.08493485687561732,-0.08493485687561732
first_order,NZF1,LBFGSSolver,83,91,59,69,63,59,83,-0.08493485687561775,-0.08493485687561775
first_order,NZF1,LBFGSSolver,84,91,59,69,63,59,84,-0.08493485687561818,-0.08493485687561818
first_order,NZF1,LBFGSSolver,85,91,59,69,63,59,85,-0.08493485687561861,-0.08493485687561861
first_order,NZF1,LBFGSSolver,86,91,59,69,63,59,86,-0.08493485687561904,-0.08493485687561904
first_order,NZF1,LBFGSSolver,87,91,59,69,63,59,87,-0.08493485687561945,-0.08493485687561945
first_order,NZF1,LBFGSSolver,88,91,59,69,63,59,88,-0.08493485687561989,-0.08493485687561989
first_order,NZF1,LBFGSSolver,89,91,59,69,63,59,89,-0.08493485687562032,-0.08493485687562032
first_order,NZF1,LBFGSSolver,90,91,59,69,63,59,90,-0.08493485687562075,-0.08493485687562075
first_order,NZF1,LBFGSSolver,91,91,59,69,63,59,91,-0.08493485687562118,-0.08493485687562118
first_order,NZF1,LBFGSSolver,92,91,59,69,63,59,92,-0.08493485687562159,-0.08493485687562159
first_order,NZF1,LBFGSSolver,93,91,59,69,63,59,93,-0.08493485687562204,-0.08493485687562204
first_order,NZF1,LBFGSSolver,94,91,59,69,63,59,94,-0.08493485687562247,-0.08493485687562247
first_order,NZF1,LBFGSSolver,95,91,59,69,63,59,95,-0.0849348568756229,-0.0849348568756229
first_order,NZF1,LBFGSSolver,96,91,59,69,63,59,96,-0.08493485687562333,-0.08493485687562333
first_order,NZF1,LBFGSSolver,97,91,59,69,63,59,97,-0.08493485687562374,-0.08493485687562374
first_order,NZF1,LBFGSSolver,98,91,59,69,63,59,98,-0.08493485687562417,-0.08493485687562417
first_order,NZF1,LBFGSSolver,99,91,59,69,63,59,99,-0.0849348568756246,-0.0849348568756246
first_order,NZF1,LBFGSSolver,100,91,59,69,63,59,100,-0.08493485687562503,-0.08493485687562503
first_order,arglina,LBFGSSolver,1,100,1,2,2,1,1,-0.0850802416569721,-0.0850802416569721
first_order,arglina,LBFGSSolver,2,100,1,2,2,1,2,-0.08508024165697253,-0.08508024165697253
