status,name,solver,mem,nvar,time,memory,num_iter,nvmops,neval_obj,init_eval_obj_time,neval_grad,init_eval_grad_time
first_order,NZF1,LBFGSSolver,1,91,0.005055039,125352.0,287,287,327,0.149182669,314,0.708794814
first_order,NZF1,LBFGSSolver,2,91,0.003526778,95232.0,199,199,222,1.1212e-5,215,2.5929e-5
first_order,NZF1,LBFGSSolver,3,91,0.00376795,103392.0,213,213,233,4.679e-6,227,1.7133e-5
first_order,NZF1,LBFGSSolver,4,91,0.0034074,98288.0,191,191,208,1.5389e-5,202,2.081e-5
first_order,NZF1,LBFGSSolver,5,91,0.003815991,108352.0,209,209,230,1.814e-6,224,1.7273e-5
first_order,NZF1,LBFGSSolver,6,91,0.003104942,95664.0,166,166,185,1.874e-6,179,1.6612e-5
first_order,NZF1,LBFGSSolver,7,91,0.003609908,108160.0,191,191,212,3.056e-6,206,1.6511e-5
first_order,NZF1,LBFGSSolver,8,91,0.00311897,100656.0,162,162,183,2.214e-6,176,1.9968e-5
first_order,NZF1,LBFGSSolver,9,91,0.003022936,101504.0,156,156,175,1.934e-6,168,1.6992e-5
first_order,NZF1,LBFGSSolver,10,91,0.0026272,96480.0,134,134,150,2.194e-6,144,1.6552e-5
first_order,NZF1,LBFGSSolver,11,91,0.002723544,101152.0,138,138,154,2.144e-6,148,1.6271e-5
first_order,NZF1,LBFGSSolver,12,91,0.00240255,97632.0,120,120,135,4.829e-6,129,1.7974e-5
first_order,NZF1,LBFGSSolver,13,91,0.002272021,98176.0,113,113,127,2.544e-6,121,1.9878e-5
first_order,NZF1,LBFGSSolver,14,91,0.002574339,105968.0,125,125,141,2.194e-6,135,1.6962e-5
first_order,NZF1,LBFGSSolver,15,91,0.002407441,106384.0,118,118,131,2.164e-6,125,1.9648e-5
first_order,NZF1,LBFGSSolver,16,91,0.002523251,109360.0,116,116,137,3.847e-6,131,2.3104e-5
first_order,NZF1,LBFGSSolver,17,91,0.002085254,105200.0,97,97,113,2.244e-6,106,1.7394e-5
first_order,NZF1,LBFGSSolver,18,91,0.001876606,104976.0,88,88,101,1.1372e-5,95,2.5418e-5
first_order,NZF1,LBFGSSolver,19,91,0.001908226,108144.0,88,88,101,7.685e-6,95,2.2633e-5
first_order,NZF1,LBFGSSolver,20,91,0.002068893,113920.0,95,95,108,8.797e-6,102,2.6781e-5
first_order,NZF1,LBFGSSolver,21,91,0.002265038,118704.0,98,98,119,7.184e-6,113,2.0159e-5
first_order,NZF1,LBFGSSolver,22,91,0.001733773,114704.0,80,80,91,5.631e-6,85,2.0108e-5
first_order,NZF1,LBFGSSolver,23,91,0.001844134,119104.0,83,83,96,2.234e-6,90,1.6662e-5
first_order,NZF1,LBFGSSolver,24,91,0.002008177,124688.0,89,89,105,2.094e-6,97,1.6752e-5
first_order,NZF1,LBFGSSolver,25,91,0.002002156,126592.0,85,85,104,4.549e-6,97,1.7914e-5
first_order,NZF1,LBFGSSolver,26,91,0.001770483,127120.0,79,79,90,5.16e-6,84,1.7584e-5
first_order,NZF1,LBFGSSolver,27,91,0.001712713,128928.0,75,75,87,4.739e-6,81,1.7824e-5
first_order,NZF1,LBFGSSolver,28,91,0.0017428,133008.0,78,78,87,2.265e-6,81,1.6872e-5
first_order,NZF1,LBFGSSolver,29,91,0.001570241,133232.0,70,70,79,2.194e-6,73,1.6983e-5
first_order,NZF1,LBFGSSolver,30,91,0.001646836,137008.0,71,71,82,2.245e-6,76,1.6702e-5
first_order,NZF1,LBFGSSolver,31,91,0.001716671,141280.0,74,74,85,2.185e-6,79,1.6271e-5
first_order,NZF1,LBFGSSolver,32,91,0.001630435,142976.0,70,70,81,2.545e-6,75,1.7093e-5
first_order,NZF1,LBFGSSolver,33,91,0.001649051,146240.0,70,70,82,4.83e-6,76,1.7724e-5
first_order,NZF1,LBFGSSolver,34,91,0.00163803,149344.0,70,70,80,2.344e-6,74,1.6552e-5
first_order,NZF1,LBFGSSolver,35,91,0.001702824,153056.0,71,71,83,2.004e-6,77,1.6752e-5
first_order,NZF1,LBFGSSolver,36,91,0.001602672,154816.0,67,67,79,4.348e-6,73,1.7674e-5
first_order,NZF1,LBFGSSolver,37,91,0.001705068,159696.0,72,72,82,2.224e-6,76,1.6461e-5
first_order,NZF1,LBFGSSolver,38,91,0.00159108,161072.0,67,67,77,2.595e-6,71,1.6411e-5
first_order,NZF1,LBFGSSolver,39,91,0.001645134,164976.0,69,69,79,1.954e-6,73,1.6802e-5
first_order,NZF1,LBFGSSolver,40,91,0.001619825,167536.0,67,67,78,1.913e-6,72,1.6592e-5
first_order,NZF1,LBFGSSolver,41,91,0.001576102,170032.0,65,65,76,1.913e-6,70,1.6612e-5
first_order,NZF1,LBFGSSolver,42,91,0.001572415,172896.0,64,64,76,2.374e-6,70,1.6732e-5
first_order,NZF1,LBFGSSolver,43,91,0.001574278,176304.0,65,65,75,1.833e-6,69,1.6542e-5
first_order,NZF1,LBFGSSolver,44,91,0.00155968,179472.0,65,65,74,2.054e-6,68,1.6612e-5
first_order,NZF1,LBFGSSolver,45,91,0.001621209,183216.0,66,66,77,2.124e-6,71,1.6822e-5
first_order,NZF1,LBFGSSolver,46,91,0.001551245,185280.0,63,63,74,1.623e-6,68,1.6552e-5
first_order,NZF1,LBFGSSolver,47,91,0.001522038,188320.0,63,63,72,2.455e-6,66,1.6541e-5
first_order,NZF1,LBFGSSolver,48,91,0.001560542,191744.0,63,63,74,2.444e-6,68,1.6602e-5
first_order,NZF1,LBFGSSolver,49,91,0.001448278,193680.0,60,60,69,1.663e-6,63,1.6552e-5
first_order,NZF1,LBFGSSolver,50,91,0.001450582,196928.0,60,60,69,3.697e-6,63,2.2322e-5
first_order,NZF1,LBFGSSolver,51,91,0.0014706,200160.0,60,60,70,2.264e-6,64,1.6281e-5
first_order,NZF1,LBFGSSolver,52,91,0.001483134,203584.0,61,61,70,1.884e-6,64,1.6822e-5
first_order,NZF1,LBFGSSolver,53,91,0.00146,206368.0,60,60,69,1.683e-6,63,1.6932e-5
first_order,NZF1,LBFGSSolver,54,91,0.001479257,209792.0,60,60,70,2.044e-6,64,1.6692e-5
first_order,NZF1,LBFGSSolver,55,91,0.001492432,213136.0,60,60,71,2.425e-6,65,1.6641e-5
first_order,NZF1,LBFGSSolver,56,91,0.001510396,216544.0,61,61,71,1.974e-6,65,1.6331e-5
first_order,NZF1,LBFGSSolver,57,91,0.001484046,219344.0,60,60,70,2.375e-6,64,1.6331e-5
first_order,NZF1,LBFGSSolver,58,91,0.001452956,222144.0,59,59,69,2.184e-6,63,2.3084e-5
