Problem name,Solver,mem=,Runtime(ns),Memory used(bytes),Number of steps to solve(iterations),Number of vector-matrix opeartions
AMPGO02,lbfgs,1,82292.0,18456.0,1,16
AMPGO02,lbfgs,2,81958.0,22376.0,1,30
AMPGO02,lbfgs,3,82167.0,25784.0,1,44
AMPGO02,lbfgs,4,80000.0,29256.0,1,58
AMPGO02,lbfgs,5,83459.0,32664.0,1,72
AMPGO02,lbfgs,6,83542.0,36136.0,1,86
AMPGO02,lbfgs,7,86791.0,39544.0,1,100
AMPGO02,lbfgs,8,83042.0,43016.0,1,114
AMPGO02,lbfgs,9,87417.0,46936.0,1,128
AMPGO02,lbfgs,10,84916.0,50408.0,1,142
AMPGO02,lbfgs,11,81709.0,53816.0,1,156
AMPGO02,lbfgs,12,86083.0,57288.0,1,170
AMPGO02,lbfgs,13,81833.0,60696.0,1,184
AMPGO02,lbfgs,14,85334.0,64168.0,1,198
AMPGO02,lbfgs,15,92875.0,67576.0,1,212
AMPGO02,lbfgs,16,90375.0,71048.0,1,226
AMPGO02,lbfgs,17,84125.0,74968.0,1,240
AMPGO02,lbfgs,18,88291.0,78456.0,1,254
AMPGO02,lbfgs,19,88917.0,81848.0,1,268
AMPGO02,lbfgs,20,86584.0,85336.0,1,282
AMPGO02,lbfgs,21,84250.0,120472.0,1,296
AMPGO02,lbfgs,22,426042.0,122424.0,1,310
AMPGO02,lbfgs,23,85250.0,124280.0,1,324
AMPGO02,lbfgs,24,85458.0,126248.0,1,338
AMPGO02,lbfgs,25,87292.0,128104.0,1,352
AMPGO02,lbfgs,26,92875.0,130024.0,1,366
AMPGO02,lbfgs,27,87750.0,131928.0,1,380
AMPGO02,lbfgs,28,91458.0,133848.0,1,394
AMPGO02,lbfgs,29,86375.0,135704.0,1,408
AMPGO02,lbfgs,30,85500.0,137672.0,1,422
AMPGO02,lbfgs,31,86500.0,139528.0,1,436
AMPGO02,lbfgs,32,92167.0,141448.0,1,450
AMPGO02,lbfgs,33,88958.0,143336.0,1,464
AMPGO02,lbfgs,34,88458.0,145256.0,1,478
AMPGO02,lbfgs,35,87083.0,147160.0,1,492
AMPGO02,lbfgs,36,87292.0,149144.0,1,506
AMPGO02,lbfgs,37,90333.0,151000.0,1,520
AMPGO02,lbfgs,38,90208.0,152904.0,1,534
AMPGO02,lbfgs,39,94459.0,154760.0,1,548
AMPGO02,lbfgs,40,90500.0,156744.0,1,562
AMPGO02,lbfgs,41,91000.0,191432.0,1,576
AMPGO02,lbfgs,42,93042.0,193288.0,1,590
AMPGO02,lbfgs,43,91333.0,195144.0,1,604
AMPGO02,lbfgs,44,91833.0,197128.0,1,618
AMPGO02,lbfgs,45,88542.0,199064.0,1,632
AMPGO02,lbfgs,46,89833.0,200920.0,1,646
AMPGO02,lbfgs,47,92375.0,202776.0,1,660
AMPGO02,lbfgs,48,91542.0,204824.0,1,674
AMPGO02,lbfgs,49,91959.0,206680.0,1,688
AMPGO02,lbfgs,50,96125.0,208616.0,1,702
AMPGO02,lbfgs,51,108667.0,210472.0,1,716
AMPGO02,lbfgs,52,93375.0,212328.0,1,730
AMPGO02,lbfgs,53,100333.0,214184.0,1,744
AMPGO02,lbfgs,54,93375.0,216232.0,1,758
AMPGO02,lbfgs,55,95375.0,218200.0,1,772
AMPGO02,lbfgs,56,98375.0,220056.0,1,786
AMPGO02,lbfgs,57,96459.0,221912.0,1,800
AMPGO02,lbfgs,58,95583.0,223768.0,1,814
AMPGO02,lbfgs,59,94084.0,225624.0,1,828
AMPGO02,lbfgs,60,95792.0,227672.0,1,842
AMPGO02,lbfgs,61,96875.0,229528.0,1,856
AMPGO02,lbfgs,62,98000.0,264232.0,1,870
AMPGO02,lbfgs,63,97542.0,266088.0,1,884
AMPGO02,lbfgs,64,99708.0,267944.0,1,898
AMPGO02,lbfgs,65,94750.0,269800.0,1,912
AMPGO02,lbfgs,66,102000.0,271784.0,1,926
AMPGO02,lbfgs,67,118750.0,273720.0,1,940
AMPGO02,lbfgs,68,97125.0,275576.0,1,954
AMPGO02,lbfgs,69,112458.0,277432.0,1,968
AMPGO02,lbfgs,70,96375.0,279480.0,1,982
AMPGO02,lbfgs,71,97167.0,281336.0,1,996
AMPGO02,lbfgs,72,97250.0,283272.0,1,1010
AMPGO02,lbfgs,73,100917.0,285128.0,1,1024
AMPGO02,lbfgs,74,105917.0,286984.0,1,1038
AMPGO02,lbfgs,75,101458.0,288840.0,1,1052
AMPGO02,lbfgs,76,99500.0,290888.0,1,1066
AMPGO02,lbfgs,77,99583.0,292856.0,1,1080
AMPGO02,lbfgs,78,107417.0,294712.0,1,1094
AMPGO02,lbfgs,79,103459.0,296568.0,1,1108
AMPGO02,lbfgs,80,101791.0,298424.0,1,1122
AMPGO02,lbfgs,81,104917.0,300280.0,1,1136
AMPGO02,lbfgs,82,105375.0,335160.0,1,1150
AMPGO02,lbfgs,83,104333.0,337016.0,1,1164
AMPGO02,lbfgs,84,105291.0,339000.0,1,1178
AMPGO02,lbfgs,85,105917.0,340856.0,1,1192
AMPGO02,lbfgs,86,105375.0,342712.0,1,1206
AMPGO02,lbfgs,87,106208.0,344568.0,1,1220
AMPGO02,lbfgs,88,106458.0,346424.0,1,1234
AMPGO02,lbfgs,89,105500.0,348280.0,1,1248
AMPGO02,lbfgs,90,113458.0,350456.0,1,1262
AMPGO02,lbfgs,91,106500.0,352312.0,1,1276
AMPGO02,lbfgs,92,106667.0,354312.0,1,1290
