status,name,solver,mem,nvar,time(ns),memory(MB),nvmops,neval_obj,neval_grad
first_order,NZF1,LBFGSSolver,1,91,5.168997e6,125352.0,287,633072,607904
first_order,NZF1,LBFGSSolver,2,91,3.53401e6,95232.0,199,608724,589530
first_order,NZF1,LBFGSSolver,3,91,3.814537e6,103392.0,213,593218,577942
first_order,NZF1,LBFGSSolver,4,91,3.451111e6,98288.0,191,589264,572266
first_order,NZF1,LBFGSSolver,5,91,3.857599e6,108352.0,209,583050,567840
first_order,NZF1,LBFGSSolver,6,91,3.108766e6,95664.0,166,582565,563671
first_order,NZF1,LBFGSSolver,7,91,3.6336e6,108160.0,191,574944,558672
first_order,NZF1,LBFGSSolver,8,91,3.181315e6,100656.0,162,573522,551584
first_order,NZF1,LBFGSSolver,9,91,3.005548e6,101504.0,156,569975,547176
first_order,NZF1,LBFGSSolver,10,91,2.658485e6,96480.0,134,560400,537984
first_order,NZF1,LBFGSSolver,11,91,2.766051e6,101152.0,138,543774,522588
first_order,NZF1,LBFGSSolver,12,91,2.442342e6,97632.0,120,543780,519612
first_order,NZF1,LBFGSSolver,13,91,2.283608e6,98176.0,113,541020,515460
first_order,NZF1,LBFGSSolver,14,91,2.601436e6,105968.0,125,531711,509085
first_order,NZF1,LBFGSSolver,15,91,2.447581e6,106384.0,118,525572,501500
first_order,NZF1,LBFGSSolver,16,91,2.534749e6,109360.0,116,527998,504874
first_order,NZF1,LBFGSSolver,17,91,2.066403e6,105200.0,97,527597,494914
first_order,NZF1,LBFGSSolver,18,91,1.893832e6,104976.0,88,525099,493905
first_order,NZF1,LBFGSSolver,19,91,1.92434e6,108144.0,88,514494,483930
first_order,NZF1,LBFGSSolver,20,91,2.069288e6,113920.0,95,506628,478482
first_order,NZF1,LBFGSSolver,21,91,2.293287e6,118704.0,98,509320,483640
first_order,NZF1,LBFGSSolver,22,91,1.774604e6,114704.0,80,501592,468520
first_order,NZF1,LBFGSSolver,23,91,1.883101e6,119104.0,83,499776,468540
first_order,NZF1,LBFGSSolver,24,91,2.048688e6,124688.0,89,504315,465891
first_order,NZF1,LBFGSSolver,25,91,2.03363e6,126592.0,85,501592,467831
first_order,NZF1,LBFGSSolver,26,91,1.812276e6,127120.0,79,485370,453012
first_order,NZF1,LBFGSSolver,27,91,1.712175e6,128928.0,75,483459,450117
first_order,NZF1,LBFGSSolver,28,91,1.764465e6,133008.0,78,470322,437886
first_order,NZF1,LBFGSSolver,29,91,1.575513e6,133232.0,70,475185,439095
first_order,NZF1,LBFGSSolver,30,91,1.632703e6,137008.0,71,476174,441332
first_order,NZF1,LBFGSSolver,31,91,1.737012e6,141280.0,74,470730,437502
first_order,NZF1,LBFGSSolver,32,91,1.665065e6,142976.0,70,472149,437175
first_order,NZF1,LBFGSSolver,33,91,1.684101e6,146240.0,70,475600,440800
