status,name,solver,mem,nvar,time(ns),memory(MB),nvmops,neval_obj,neval_grad
first_order,arglina,LBFGSSolver,1,100,119960.0,18824.0,1,98684,98684
first_order,NZF1,LBFGSSolver,1,91,5.048941e6,125352.0,287,638958,613556
first_order,NZF1,LBFGSSolver,2,91,3.520366e6,95232.0,199,612942,593615
first_order,NZF1,LBFGSSolver,3,91,3.784801e6,103392.0,213,609994,594286
first_order,NZF1,LBFGSSolver,4,91,3.40259e6,98288.0,191,595296,578124
first_order,NZF1,LBFGSSolver,5,91,3.810691e6,108352.0,209,586730,571424
first_order,NZF1,LBFGSSolver,6,91,3.085524e6,95664.0,166,587190,568146
first_order,NZF1,LBFGSSolver,7,91,3.599155e6,108160.0,191,579820,563410
first_order,NZF1,LBFGSSolver,8,91,3.11032e6,100656.0,162,579195,557040
first_order,NZF1,LBFGSSolver,9,91,3.006622e6,101504.0,156,572600,549696
first_order,NZF1,LBFGSSolver,10,91,2.609462e6,96480.0,134,563550,541008
first_order,NZF1,LBFGSSolver,11,91,2.711477e6,101152.0,138,557788,536056
first_order,NZF1,LBFGSSolver,12,91,2.393308e6,97632.0,120,554580,529932
first_order,NZF1,LBFGSSolver,13,91,2.268339e6,98176.0,113,543306,517638
first_order,NZF1,LBFGSSolver,14,91,2.56678e6,105968.0,125,533262,510570
first_order,NZF1,LBFGSSolver,15,91,2.403749e6,106384.0,118,528061,503875
first_order,NZF1,LBFGSSolver,16,91,2.513097e6,109360.0,116,531971,508673
first_order,NZF1,LBFGSSolver,17,91,2.06002e6,105200.0,97,529405,496610
first_order,NZF1,LBFGSSolver,18,91,1.868844e6,104976.0,88,526210,494950
first_order,NZF1,LBFGSSolver,19,91,1.889354e6,108144.0,88,515706,485070
first_order,NZF1,LBFGSSolver,20,91,2.041686e6,113920.0,95,507168,478992
first_order,NZF1,LBFGSSolver,21,91,2.244804e6,118704.0,98,510867,485109
first_order,NZF1,LBFGSSolver,22,91,1.72999e6,114704.0,80,504686,471410
first_order,NZF1,LBFGSSolver,23,91,1.846632e6,119104.0,83,502752,471330
first_order,NZF1,LBFGSSolver,24,91,2.008131e6,124688.0,89,505995,467443
first_order,NZF1,LBFGSSolver,25,91,1.994975e6,126592.0,85,503048,469189
first_order,NZF1,LBFGSSolver,26,91,1.763042e6,127120.0,79,494370,461412
first_order,NZF1,LBFGSSolver,27,91,1.716292e6,128928.0,75,492681,458703
first_order,NZF1,LBFGSSolver,28,91,1.76208e6,133008.0,78,480936,447768
first_order,NZF1,LBFGSSolver,29,91,1.56872e6,133232.0,70,483875,447125
first_order,NZF1,LBFGSSolver,30,91,1.63674e6,137008.0,71,480192,445056
first_order,NZF1,LBFGSSolver,31,91,1.715571e6,141280.0,74,479995,446113
first_order,NZF1,LBFGSSolver,32,91,1.634366e6,142976.0,70,480897,445275
first_order,NZF1,LBFGSSolver,33,91,1.661818e6,146240.0,70,477322,442396
first_order,NZF1,LBFGSSolver,34,91,1.635658e6,149344.0,70,467920,432826
first_order,NZF1,LBFGSSolver,35,91,1.705742e6,153056.0,71,470195,436205
first_order,NZF1,LBFGSSolver,36,91,1.603737e6,154816.0,67,470366,434642
first_order,NZF1,LBFGSSolver,37,91,1.702936e6,159696.0,72,462726,428868
first_order,NZF1,LBFGSSolver,38,91,1.58987e6,161072.0,67,460614,424722
first_order,NZF1,LBFGSSolver,39,91,1.645046e6,164976.0,69,458200,423400
first_order,NZF1,LBFGSSolver,40,91,1.618826e6,167536.0,67,455676,420624
first_order,NZF1,LBFGSSolver,41,91,1.571847e6,170032.0,65,456608,420560
first_order,NZF1,LBFGSSolver,42,91,1.567177e6,172896.0,64,463524,426930
first_order,NZF1,LBFGSSolver,43,91,1.575503e6,176304.0,65,456450,419934
first_order,NZF1,LBFGSSolver,44,91,1.583128e6,179472.0,65,451104,414528
first_order,NZF1,LBFGSSolver,45,91,1.638684e6,183216.0,66,448679,413717
first_order,NZF1,LBFGSSolver,46,91,1.552849e6,185280.0,63,452880,416160
first_order,NZF1,LBFGSSolver,47,91,1.520408e6,188320.0,63,449784,412302
first_order,NZF1,LBFGSSolver,48,91,1.564402e6,191744.0,63,451770,415140
first_order,NZF1,LBFGSSolver,49,91,1.446767e6,193680.0,60,447534,408618
first_order,NZF1,LBFGSSolver,50,91,1.449772e6,196928.0,60,447672,408744
first_order,NZF1,LBFGSSolver,51,91,1.468217e6,200160.0,60,451080,412416
first_order,NZF1,LBFGSSolver,52,91,1.483006e6,203584.0,61,448560,410112
first_order,NZF1,LBFGSSolver,53,91,1.458549e6,206368.0,60,445602,406854
first_order,NZF1,LBFGSSolver,54,91,1.475251e6,209792.0,60,449960,411392
first_order,NZF1,LBFGSSolver,55,91,1.492805e6,213136.0,60,447868,410020
first_order,NZF1,LBFGSSolver,56,91,1.507192e6,216544.0,61,445596,407940
first_order,NZF1,LBFGSSolver,57,91,1.478517e6,219344.0,60,448630,410176
first_order,NZF1,LBFGSSolver,58,91,1.449922e6,222144.0,59,446499,407673
first_order,NZF1,LBFGSSolver,59,91,1.451726e6,225312.0,59,446499,407673
first_order,NZF1,LBFGSSolver,60,91,1.452568e6,228608.0,59,446292,407484
first_order,NZF1,LBFGSSolver,61,91,1.457227e6,231776.0,59,446016,407232
first_order,NZF1,LBFGSSolver,62,91,1.454011e6,235024.0,59,445533,406791
first_order,NZF1,LBFGSSolver,63,91,1.453931e6,238192.0,59,445809,407043
first_order,NZF1,LBFGSSolver,64,91,1.454281e6,241296.0,59,445671,406917
first_order,NZF1,LBFGSSolver,65,91,1.472546e6,244464.0,59,444636,405972
first_order,NZF1,LBFGSSolver,66,91,1.466685e6,247760.0,59,444153,405531
first_order,NZF1,LBFGSSolver,67,91,1.47481e6,251008.0,59,444360,405720
first_order,NZF1,LBFGSSolver,68,91,1.45954e6,254112.0,59,444153,405531
first_order,NZF1,LBFGSSolver,69,91,1.460503e6,257280.0,59,444774,406098
first_order,NZF1,LBFGSSolver,70,91,1.470231e6,260640.0,59,443808,405216
first_order,NZF1,LBFGSSolver,71,91,1.49072e6,263808.0,59,443532,404964
first_order,NZF1,LBFGSSolver,72,91,1.495309e6,266992.0,59,443118,404586
first_order,NZF1,LBFGSSolver,73,91,1.461765e6,270160.0,59,442911,404397
first_order,NZF1,LBFGSSolver,74,91,1.462076e6,273328.0,59,443601,405027
first_order,NZF1,LBFGSSolver,75,91,1.462216e6,276496.0,59,443463,404901
first_order,NZF1,LBFGSSolver,76,91,1.463108e6,279792.0,59,443670,405090
first_order,NZF1,LBFGSSolver,77,91,1.485781e6,283072.0,59,441669,403263
first_order,NZF1,LBFGSSolver,78,91,1.465041e6,286240.0,59,443187,404649
first_order,NZF1,LBFGSSolver,79,91,1.467516e6,289408.0,59,442842,404334
first_order,NZF1,LBFGSSolver,80,91,1.488806e6,292512.0,59,435804,397908
first_order,NZF1,LBFGSSolver,81,91,1.478597e6,295680.0,59,435804,397908
first_order,NZF1,LBFGSSolver,82,91,1.484648e6,299104.0,59,435873,397971
first_order,NZF1,LBFGSSolver,83,91,1.48559e6,302272.0,59,435735,397845
first_order,NZF1,LBFGSSolver,84,91,1.485851e6,305504.0,59,435597,397719
first_order,NZF1,LBFGSSolver,85,91,1.486262e6,308672.0,59,435873,397971
first_order,NZF1,LBFGSSolver,86,91,1.470562e6,311840.0,59,436563,398601
first_order,NZF1,LBFGSSolver,87,91,1.470743e6,315008.0,59,436632,398664
first_order,NZF1,LBFGSSolver,88,91,1.471974e6,318112.0,59,441945,403515
first_order,NZF1,LBFGSSolver,89,91,1.490279e6,321280.0,59,439737,401499
first_order,NZF1,LBFGSSolver,90,91,1.472535e6,324768.0,59,436011,398097
first_order,NZF1,LBFGSSolver,91,91,1.475651e6,327936.0,59,441531,403137
first_order,NZF1,LBFGSSolver,92,91,1.474229e6,331184.0,59,435252,397404
first_order,NZF1,LBFGSSolver,93,91,1.474579e6,334352.0,59,435321,397467
first_order,NZF1,LBFGSSolver,94,91,1.477114e6,337520.0,59,436494,398538
first_order,NZF1,LBFGSSolver,95,91,1.477595e6,340688.0,59,434976,397152
first_order,NZF1,LBFGSSolver,96,91,1.478476e6,343792.0,59,434838,397026
