status,name,nvar,solver,mem,time,memory,nvmops,neval_obj,neval_grad
first_order,AMPGO02,LBFGSSolver,1,1,24226.0,10424.0,8,2001923,1819930
first_order,AMPGO02,LBFGSSolver,2,1,24587.0,10648.0,8,3914603,3558730
first_order,AMPGO02,LBFGSSolver,3,1,25128.0,10808.0,8,5808440,5280400
first_order,AMPGO02,LBFGSSolver,4,1,25549.0,11032.0,8,7652513,6956830
first_order,AMPGO02,LBFGSSolver,5,1,26140.0,11192.0,8,9484255,8622050
first_order,AMPGO02,LBFGSSolver,6,1,26371.0,11416.0,8,11285362,10259420
first_order,AMPGO02,LBFGSSolver,7,1,26711.0,11576.0,8,13050070,11863700
first_order,AMPGO02,LBFGSSolver,8,1,27192.0,11800.0,8,14802733,13457030
first_order,AMPGO02,LBFGSSolver,9,1,27532.0,11960.0,8,16525476,15023160
first_order,AMPGO02,LBFGSSolver,10,1,27784.0,12184.0,8,18266138,16605580
first_order,AMPGO02,LBFGSSolver,11,1,28134.0,12344.0,8,19988881,18171710
first_order,AMPGO02,LBFGSSolver,12,1,28444.0,12568.0,8,21658461,19689510
first_order,AMPGO02,LBFGSSolver,13,1,28835.0,12728.0,8,23328041,21207310
first_order,AMPGO02,LBFGSSolver,14,1,29346.0,12952.0,8,25003484,22730440
first_order,AMPGO02,LBFGSSolver,15,1,29757.0,13112.0,8,26655541,24232310
first_order,AMPGO02,LBFGSSolver,16,1,29917.0,13336.0,8,28295971,25723610
first_order,AMPGO02,LBFGSSolver,17,1,30438.0,13496.0,8,29856244,27142040
first_order,AMPGO02,LBFGSSolver,18,1,30498.0,13752.0,8,31360582,28509620
first_order,AMPGO02,LBFGSSolver,19,1,30459.0,13880.0,8,32892750,29902500
first_order,AMPGO02,LBFGSSolver,20,1,30859.0,14136.0,8,34413753,31285230
first_order,AMPGO02,LBFGSSolver,21,1,31130.0,14264.0,8,35934756,32667960
first_order,AMPGO02,LBFGSSolver,22,1,31521.0,14520.0,8,37461336,34055760
first_order,AMPGO02,LBFGSSolver,23,1,32252.0,14648.0,8,38938119,35398290
first_order,AMPGO02,LBFGSSolver,24,1,32352.0,14936.0,8,40398501,36725910
first_order,AMPGO02,LBFGSSolver,25,1,33064.0,15064.0,8,41815631,38014210
first_order,AMPGO02,LBFGSSolver,26,1,33203.0,15256.0,8,43265134,39331940
first_order,AMPGO02,LBFGSSolver,27,1,33585.0,15480.0,8,44693011,40630010
first_order,AMPGO02,LBFGSSolver,28,1,33785.0,15672.0,8,46062324,41874840
first_order,AMPGO02,LBFGSSolver,29,1,33754.0,15800.0,8,47426379,43114890
first_order,AMPGO02,LBFGSSolver,30,1,34687.0,16088.0,8,48816834,44378940
first_order,AMPGO02,LBFGSSolver,31,1,35057.0,16216.0,8,50207289,45642990
first_order,AMPGO02,LBFGSSolver,32,1,35197.0,16408.0,8,51581871,46892610
first_order,AMPGO02,LBFGSSolver,33,1,35939.0,16600.0,8,52909428,48099480
first_order,AMPGO02,LBFGSSolver,34,1,36009.0,16792.0,8,54252561,49320510
first_order,AMPGO02,LBFGSSolver,35,1,36169.0,17016.0,8,55606133,50551030
first_order,AMPGO02,LBFGSSolver,36,1,36610.0,17272.0,8,56902835,51729850
first_order,AMPGO02,LBFGSSolver,37,1,36881.0,17400.0,8,58209778,52917980
first_order,AMPGO02,LBFGSSolver,38,1,37361.0,17624.0,8,59506480,54096800
first_order,AMPGO02,LBFGSSolver,39,1,37362.0,17752.0,8,60818560,55289600
first_order,AMPGO02,LBFGSSolver,40,1,37812.0,18008.0,8,62110158,56463780
first_order,AMPGO02,LBFGSSolver,41,1,38423.0,18264.0,8,63371363,57610330
first_order,AMPGO02,LBFGSSolver,42,1,38334.0,18392.0,8,64627541,58752310
first_order,AMPGO02,LBFGSSolver,43,1,38674.0,18520.0,8,65903893,59912630
first_order,AMPGO02,LBFGSSolver,44,1,38634.0,18776.0,8,67170136,61063760
first_order,AMPGO02,LBFGSSolver,45,1,38915.0,19064.0,8,68431341,62210310
first_order,AMPGO02,LBFGSSolver,46,1,39216.0,19192.0,8,69682503,63347730
first_order,AMPGO02,LBFGSSolver,47,1,39846.0,19320.0,8,70928660,64480600
first_order,AMPGO02,LBFGSSolver,48,1,40358.0,19640.0,8,72140090,65581900
first_order,AMPGO02,LBFGSSolver,49,1,40387.0,19768.0,8,73366337,66696670
first_order,AMPGO02,LBFGSSolver,50,1,40979.0,20056.0,8,74553292,67775720
first_order,AMPGO02,LBFGSSolver,51,1,40859.0,20184.0,8,75754899,68868090
first_order,AMPGO02,LBFGSSolver,52,1,41399.0,20312.0,8,76946727,69951570
first_order,AMPGO02,LBFGSSolver,53,1,41649.0,20440.0,8,78123969,71021790
first_order,AMPGO02,LBFGSSolver,54,1,42201.0,20760.0,8,79286724,72078840
first_order,AMPGO02,LBFGSSolver,55,1,42381.0,21112.0,8,80439876,73127160
first_order,AMPGO02,LBFGSSolver,56,1,42651.0,21240.0,8,81597824,74179840
first_order,AMPGO02,LBFGSSolver,57,1,42953.0,21368.0,8,82750976,75228160
first_order,AMPGO02,LBFGSSolver,58,1,43293.0,21496.0,8,83875583,76250530
first_order,AMPGO02,LBFGSSolver,59,1,43613.0,21624.0,8,85004920,77277200
first_order,AMPGO02,LBFGSSolver,60,1,43824.0,21944.0,8,86138998,78308180
first_order,AMPGO02,LBFGSSolver,61,1,44134.0,22072.0,8,87254178,79321980
first_order,AMPGO02,LBFGSSolver,62,1,44636.0,22360.0,8,88374066,80340060
first_order,AMPGO02,LBFGSSolver,63,1,44715.0,22488.0,8,89489246,81353860
first_order,AMPGO02,LBFGSSolver,64,1,45196.0,22616.0,8,90595043,82359130
