status,name,solver,mem,nvar,time,memory,num_iter,nvmops,neval_obj,init_eval_obj_time,neval_grad,init_eval_grad_time
first_order,NZF1,LBFGSSolver,1,91,0.005071068,125416.0,287,287,327,0.206857016,314,0.651566386
first_order,NZF1,LBFGSSolver,2,91,0.003549195,95296.0,199,199,222,1.2664e-5,215,3.0569e-5
first_order,NZF1,LBFGSSolver,3,91,0.003810224,103456.0,213,213,233,4.389e-6,227,1.9477e-5
first_order,NZF1,LBFGSSolver,4,91,0.003418314,98352.0,191,191,208,3.507e-6,202,1.7954e-5
first_order,NZF1,LBFGSSolver,5,91,0.003851953,108416.0,209,209,230,2.856e-6,224,2.1291e-5
first_order,NZF1,LBFGSSolver,6,91,0.003121736,95728.0,166,166,185,9.829e-6,179,3.5097e-5
first_order,NZF1,LBFGSSolver,7,91,0.003604039,108224.0,191,191,212,3.807e-6,206,2.2423e-5
first_order,NZF1,LBFGSSolver,8,91,0.003122557,100720.0,162,162,183,7.013e-6,176,2.8936e-5
first_order,NZF1,LBFGSSolver,9,91,0.003025341,101568.0,156,156,175,7.925e-6,168,3.3344e-5
first_order,NZF1,LBFGSSolver,10,91,0.002648659,96544.0,134,134,150,1.1442e-5,144,2.8725e-5
first_order,NZF1,LBFGSSolver,11,91,0.002745946,101216.0,138,138,154,6.593e-6,148,1.8335e-5
first_order,NZF1,LBFGSSolver,12,91,0.002440982,97696.0,120,120,135,6.212e-6,129,2.1712e-5
first_order,NZF1,LBFGSSolver,13,91,0.002291426,98240.0,113,113,127,6.834e-6,121,2.4266e-5
first_order,NZF1,LBFGSSolver,14,91,0.002595507,106032.0,125,125,141,5.42e-6,135,1.6392e-5
first_order,NZF1,LBFGSSolver,15,91,0.002413289,106448.0,118,118,131,2.434e-6,125,1.6913e-5
first_order,NZF1,LBFGSSolver,16,91,0.002531865,109424.0,116,116,137,7.946e-6,131,2.2713e-5
first_order,NZF1,LBFGSSolver,17,91,0.002082274,105264.0,97,97,113,7.525e-6,106,2.9366e-5
first_order,NZF1,LBFGSSolver,18,91,0.001888584,105040.0,88,88,101,6.743e-6,95,2.4397e-5
first_order,NZF1,LBFGSSolver,19,91,0.001905937,108208.0,88,88,101,6.733e-6,95,2.1401e-5
