nvar,variable_nvar,ncon,variable_ncon,minimize,name,has_equalities_only,has_inequalities_only,has_bounds,has_fixed_variables,objtype,contype,best_known_lower_bound,best_known_upper_bound,is_feasible,defined_everywhere,origin
91,true,0,false,true,NZF1,false,false,false,false,least_squares,unconstrained,-Inf,34698.351903102724,true,,unknown
100,true,0,false,true,arglina,false,false,false,false,least_squares,unconstrained,-Inf,500.0,true,,unknown
100,true,0,false,true,arglinb,false,false,false,false,least_squares,unconstrained,-Inf,6.85173637402e13,true,,unknown
100,true,0,false,true,arglinc,false,false,false,false,other,unconstrained,-Inf,6.3854440574201e13,true,,unknown
100,true,0,false,true,argtrig,false,false,false,false,other,unconstrained,-Inf,0.0,true,,unknown
100,true,0,false,true,arwhead,false,false,false,false,other,unconstrained,-Inf,297.0,true,,unknown
100,true,0,false,true,bdqrtic,false,false,false,false,least_squares,unconstrained,-Inf,21696.0,true,,unknown
6,false,0,false,true,biggs6,false,false,false,false,other,unconstrained,-Inf,-3.156207810643302,true,,unknown
100,true,0,false,true,brownal,false,false,false,false,least_squares,unconstrained,-Inf,0.0,true,,unknown
100,true,0,false,true,broyden3d,false,false,false,false,least_squares,unconstrained,-Inf,0.0,true,,unknown
100,true,0,false,true,broydn7d,false,false,false,false,other,unconstrained,-Inf,274.2039050428259,true,,unknown
100,true,0,false,true,brybnd,false,false,false,false,least_squares,unconstrained,-Inf,3600.0,true,,unknown
100,true,0,false,true,chainwoo,false,false,false,false,other,unconstrained,-Inf,371954.1,true,,unknown
100,true,0,false,true,chnrosnb_mod,false,false,false,false,other,unconstrained,-Inf,17637.880838661367,true,,unknown
100,true,0,false,true,clplatea,false,false,false,false,other,unconstrained,-Inf,0.0,true,,unknown
100,true,0,false,true,clplateb,false,false,false,false,other,unconstrained,-Inf,0.0,true,,unknown
100,true,0,false,true,clplatec,false,false,false,false,other,unconstrained,-Inf,0.0,true,,unknown
100,true,0,false,true,cosine,false,false,false,false,other,unconstrained,-Inf,86.88067362714695,true,,unknown
100,true,0,false,true,cragglvy,false,false,false,false,other,unconstrained,-Inf,52823.07152952862,true,,unknown
100,true,0,false,true,cragglvy2,false,false,false,false,other,unconstrained,-Inf,52823.07152952862,true,,unknown
100,true,0,false,true,curly,false,false,false,false,other,unconstrained,-Inf,-0.006237221463658019,true,,unknown
100,true,0,false,true,curly10,false,false,false,false,other,unconstrained,-Inf,-0.006237221463658019,true,,unknown
100,true,0,false,true,curly20,false,false,false,false,other,unconstrained,-Inf,-0.01296535045367952,true,,unknown
100,true,0,false,true,curly30,false,false,false,false,other,unconstrained,-Inf,-0.02038297204649621,true,,unknown
99,true,0,false,true,dixmaane,false,false,false,false,other,unconstrained,-Inf,731.8333333333334,true,,unknown
99,true,0,false,true,dixmaanf,false,false,false,false,other,unconstrained,-Inf,1348.4166666666667,true,,unknown
99,true,0,false,true,dixmaang,false,false,false,false,other,unconstrained,-Inf,2495.8333333333335,true,,unknown
99,true,0,false,true,dixmaanh,false,false,false,false,other,unconstrained,-Inf,4974.253333333338,true,,unknown
99,true,0,false,true,dixmaani,false,false,false,false,other,unconstrained,-Inf,663.6459034792368,true,,unknown
99,true,0,false,true,dixmaanj,false,false,false,false,other,unconstrained,-Inf,1281.3263187429854,true,,unknown
99,true,0,false,true,dixmaank,false,false,false,false,other,unconstrained,-Inf,2427.645903479237,true,,unknown
99,true,0,false,true,dixmaanl,false,false,false,false,other,unconstrained,-Inf,4903.696206509544,true,,unknown
99,true,0,false,true,dixmaanm,false,false,false,false,other,unconstrained,-Inf,314.3125701459035,true,,unknown
99,true,0,false,true,dixmaann,false,false,false,false,other,unconstrained,-Inf,665.6596520763188,true,,unknown
99,true,0,false,true,dixmaano,false,false,false,false,other,unconstrained,-Inf,1196.3125701459037,true,,unknown
99,true,0,false,true,dixmaanp,false,false,false,false,other,unconstrained,-Inf,2342.5228731762068,true,,unknown
100,true,0,false,true,dixon3dq,false,false,false,false,least_squares,unconstrained,-Inf,8.0,true,,unknown
100,true,0,false,true,dqdrtic,false,false,false,false,other,unconstrained,-Inf,177282.0,true,,unknown
100,true,0,false,true,dqrtic,false,false,false,false,other,unconstrained,-Inf,1.85427373e9,true,,unknown
100,true,0,false,true,edensch,false,false,false,false,other,unconstrained,-Inf,1699.0,true,,unknown
100,true,0,false,true,eg2,false,false,false,false,other,unconstrained,-Inf,-83.30562749598184,true,,unknown
100,true,0,false,true,engval1,false,false,false,false,other,unconstrained,-Inf,5841.0,true,,unknown
9,false,0,false,true,enso,false,false,false,false,least_squares,unconstrained,-Inf,500.0,true,,unknown
100,true,0,false,true,errinros_mod,false,false,false,false,least_squares,unconstrained,-Inf,313991.29345132335,true,,unknown
100,true,0,false,true,extrosnb,false,false,false,false,other,unconstrained,-Inf,39604.0,true,,unknown
100,true,0,false,true,fletcbv2,false,false,false,false,other,unconstrained,-Inf,-0.5131082956600861,true,,unknown
100,true,0,false,true,fletcbv3_mod,false,false,false,false,other,unconstrained,-Inf,-0.018792460907141866,true,,unknown
100,true,0,false,true,fletchcr,false,false,false,false,other,unconstrained,-Inf,9900.0,true,,unknown
100,false,0,false,true,fminsrf2,false,false,false,false,other,unconstrained,-Inf,2504.26865839215,true,,unknown
100,true,0,false,true,freuroth,false,false,false,false,least_squares,unconstrained,-Inf,99556.5,true,,unknown
8,false,0,false,true,gauss1,false,false,false,false,least_squares,unconstrained,-Inf,500.0,true,,unknown
8,false,0,false,true,gauss2,false,false,false,false,least_squares,unconstrained,-Inf,500.0,true,,unknown
8,false,0,false,true,gauss3,false,false,false,false,least_squares,unconstrained,-Inf,500.0,true,,unknown
100,true,0,false,true,genhumps,false,false,false,false,other,unconstrained,-Inf,2.5368401187477503e6,true,,unknown
100,true,0,false,true,genrose,false,false,false,false,other,unconstrained,-Inf,405.1064193957891,true,,unknown
100,true,0,false,true,genrose_nash,false,false,false,false,other,unconstrained,-Inf,404.12622137598714,true,,unknown
7,false,0,false,true,hahn1,false,false,false,false,least_squares,unconstrained,-Inf,500.0,true,,unknown
100,true,0,false,true,indef_mod,false,false,false,false,other,unconstrained,-Inf,91.66547438399422,true,,unknown
100,true,0,false,true,integreq,false,false,false,false,least_squares,unconstrained,-Inf,0.0,true,,unknown
5,false,0,false,true,kirby2,false,false,false,false,least_squares,unconstrained,-Inf,500.0,true,,unknown
6,false,0,false,true,lanczos1,false,false,false,false,least_squares,unconstrained,-Inf,500.0,true,,unknown
6,false,0,false,true,lanczos2,false,false,false,false,least_squares,unconstrained,-Inf,500.0,true,,unknown
6,false,0,false,true,lanczos3,false,false,false,false,least_squares,unconstrained,-Inf,500.0,true,,unknown
100,true,0,false,true,liarwhd,false,false,false,false,other,unconstrained,-Inf,58500.0,true,,unknown
5,false,0,false,true,mgh17,false,false,false,false,least_squares,unconstrained,-Inf,500.0,true,,unknown
100,true,0,false,true,morebv,false,false,false,false,least_squares,unconstrained,-Inf,0.5009424758925529,true,,unknown
100,true,0,false,true,ncb20,false,false,false,false,other,unconstrained,-Inf,182.002,true,,unknown
100,true,0,false,true,ncb20b,false,false,false,false,other,unconstrained,-Inf,200.0,true,,unknown
100,true,0,false,true,noncvxu2,false,false,false,false,other,unconstrained,-Inf,2.639748043568829e6,true,,unknown
100,true,0,false,true,noncvxun,false,false,false,false,other,unconstrained,-Inf,2.7270107614155663e6,true,,unknown
100,true,0,false,true,nondia,false,false,false,false,other,unconstrained,-Inf,39604.0,true,,unknown
100,true,0,false,true,nondquar,false,false,false,false,other,unconstrained,-Inf,106.0,true,,unknown
5,false,0,false,true,osborne1,false,false,false,false,least_squares,unconstrained,-Inf,7.068755591027714,true,,unknown
11,false,0,false,true,osborne2,false,false,false,false,least_squares,unconstrained,-Inf,2.093419514212065,true,,unknown
8,false,0,false,true,palmer1c,false,false,false,false,least_squares,unconstrained,-Inf,3.452950244642996e8,true,,unknown
7,false,0,false,true,palmer1d,false,false,false,false,least_squares,unconstrained,-Inf,2.872664926620958e7,true,,unknown
8,false,0,false,true,palmer2c,false,false,false,false,least_squares,unconstrained,-Inf,2.689403430111151e7,true,,unknown
8,false,0,false,true,palmer3c,false,false,false,false,least_squares,unconstrained,-Inf,8.121974242549511e6,true,,unknown
8,false,0,false,true,palmer4c,false,false,false,false,least_squares,unconstrained,-Inf,8.094447597223963e6,true,,unknown
6,false,0,false,true,palmer5c,false,false,false,false,least_squares,unconstrained,-Inf,25494.986780130494,true,,unknown
8,false,0,false,true,palmer6c,false,false,false,false,least_squares,unconstrained,-Inf,772166.1146753794,true,,unknown
8,false,0,false,true,palmer7c,false,false,false,false,least_squares,unconstrained,-Inf,3.205127217959645e6,true,,unknown
8,false,0,false,true,palmer8c,false,false,false,false,least_squares,unconstrained,-Inf,850271.0403558624,true,,unknown
100,true,0,false,true,penalty1,false,false,false,false,least_squares,unconstrained,-Inf,1.0,true,,unknown
100,true,0,false,true,penalty2,false,false,false,false,other,unconstrained,-Inf,1.6884776914936244e6,true,,unknown
100,true,0,false,true,penalty3,false,false,false,false,other,unconstrained,-Inf,1.0063906885360703e8,true,,unknown
