status,name,solver,nvar,time,memory,num_iter,neval_obj,init_eval_obj_time,init_eval_obj_mem,init_eval_obj_alloc,neval_grad,init_eval_grad_time,init_eval_grad_mem,init_eval_grad_alloc,is_init_run
first_order,NZF1,LBFGSSolver,91,6.97891125,280.77608,8,10,0.109229549,16.884008,332098,10,0.807670167,86.87808,1736503,true
first_order,NZF1,LBFGSSolver,91,3.00097856,0.968944,8,10,8.456e-6,0.000592,3,10,2.8936e-5,0.00144,5,false
first_order,arglina,LBFGSSolver,100,0.705287124,36.41868,5,7,0.120950312,15.416976,297940,7,0.302114528,26.192624,518121,true
first_order,arglina,LBFGSSolver,100,0.28123226700000004,0.110384,5,7,5.18e-6,0.000592,3,7,7.7719e-5,0.00152,5,false
first_order,arglinb,LBFGSSolver,100,0.665452186,32.745056,1,3,0.072362958,13.483552,265518,3,0.335129231,18.032184,353608,true
first_order,arglinb,LBFGSSolver,100,0.293915032,0.032176,1,3,5.541e-6,0.000592,3,3,5.727e-5,0.00152,5,false
first_order,arglinc,LBFGSSolver,100,0.623300831,30.268584,1,3,0.070080886,13.5672,267435,3,0.237495204,17.822672,348875,true
first_order,arglinc,LBFGSSolver,100,0.25968490099999997,0.032176,1,3,3.377e-6,0.000592,3,3,5.754e-5,0.00152,5,false
first_order,argtrig,LBFGSSolver,100,0.755239532,31.538976,25,39,0.051488481,4.502312,88514,27,0.221909399,14.562944,288683,true
first_order,argtrig,LBFGSSolver,100,0.349793884,1.322304,25,39,4.188e-6,0.000592,3,27,6.4614e-5,0.00152,5,false
first_order,arwhead,LBFGSSolver,100,0.625562764,27.796056,5,7,0.033422434,4.541808,89362,7,0.215742605,13.744256,270777,true
first_order,arwhead,LBFGSSolver,100,0.280005556,0.12968,5,7,2.626e-6,0.000592,3,7,3.8914e-5,0.00152,5,false
first_order,auglag,LBFGSSolver,100,1.0515269,40.833088,48,100,0.039405355,1.349184,26813,46,0.350227664,14.893352,303908,true
first_order,auglag,LBFGSSolver,100,0.329165077,2.709552,48,100,6.001e-6,0.000592,3,46,6.0196e-5,0.00152,5,false
